"nome_cientifico";"familia";"status"
"Marsdenia otoniensis";"Apocynaceae";"CR"
"Marsdenia queirozii";"Apocynaceae";"EN"
"Matelea bahiensis";"Apocynaceae";"EN"
"Matelea glaziovii";"Apocynaceae";"VU"
"Matelea hatschbachii";"Apocynaceae";"EN"
"Matelea marcoassisii";"Apocynaceae";"VU"
"Metastelma giuliettianum";"Apocynaceae";"EN"
"Metastelma harleyi";"Apocynaceae";"EN"
"Minaria bifurcata";"Apocynaceae";"CR"
"Minaria diamantinensis";"Apocynaceae";"CR"
"Minaria grazielae";"Apocynaceae";"EN"
"Minaria harleyi";"Apocynaceae";"EN"
"Minaria hemipogonoides";"Apocynaceae";"CR"
"Minaria magisteriana";"Apocynaceae";"EN"
"Minaria monocoronata";"Apocynaceae";"CR"
"Minaria polygaloides";"Apocynaceae";"EN"
"Minaria refractifolia";"Apocynaceae";"VU"
"Minaria semirii";"Apocynaceae";"EN"
"Minaria volubilis";"Apocynaceae";"EN"
"Monsanima morrenioides";"Apocynaceae";"CR"
"Monsanima tinguaensis";"Apocynaceae";"VU"
"Morilloa furlanii";"Apocynaceae";"EN"
"Morilloa piranii";"Apocynaceae";"CR"
"Mucoa duckei";"Apocynaceae";"EN"
"Orthosia arenosa";"Apocynaceae";"EN"
"Oxypetalum cordifolium subsp. mexiae";"Apocynaceae";"CR"
"Oxypetalum costae";"Apocynaceae";"CR"
"Oxypetalum dusenii";"Apocynaceae";"EN"
"Oxypetalum ekblomii";"Apocynaceae";"EN"
"Oxypetalum glaziovii";"Apocynaceae";"EN"
"Oxypetalum leonii";"Apocynaceae";"EN"
"Oxypetalum schottii";"Apocynaceae";"EN"
"Parahancornia krukovii";"Apocynaceae";"EN"
"Prestonia solanifolia";"Apocynaceae";"EN"
"Rauvolfia capixabae";"Apocynaceae";"EN"
"Spongiosperma longilobum";"Apocynaceae";"EN"
"Tabernaemontana cumata";"Apocynaceae";"EN"
"Cathedra paraensis";"Aptandraceae";"EN"
"Ilex auricula";"Aquifoliaceae";"EN"
"Ilex diuretica";"Aquifoliaceae";"VU"
"Ilex euryaeformis";"Aquifoliaceae";"EN"
"Ilex loranthoides";"Aquifoliaceae";"VU"
"Ilex prostrata";"Aquifoliaceae";"CR"
"Ilex sapiiformis";"Aquifoliaceae";"CR (PEX)"
"Ilex schwackeana";"Aquifoliaceae";"VU"
"Anthurium augustinum";"Araceae";"EN"
"Anthurium binotii";"Araceae";"EN"
"Anthurium bragae";"Araceae";"EN"
"Anthurium cronembergerae";"Araceae";"EN"
"Anthurium jureianum";"Araceae";"VU"
"Anthurium langsdorffii";"Araceae";"EN"
"Anthurium laucheanum";"Araceae";"EN"
"Anthurium lhotzkyanum";"Araceae";"VU"
"Anthurium lucidum";"Araceae";"CR"
"Anthurium luschnathianum";"Araceae";"EN"
"Anthurium radicans";"Araceae";"VU"
"Anthurium sakuraguianum";"Araceae";"CR"
"Anthurium simonii";"Araceae";"EN"
"Anthurium xanthophylloides";"Araceae";"VU"
"Heteropsis flexuosa";"Araceae";"VU"
"Philodendron alternans";"Araceae";"EN"
"Philodendron fragile";"Araceae";"EN"
"Philodendron luisae";"Araceae";"CR"
"Philodendron nadruzianum";"Araceae";"EN"
"Philodendron spiritus-sancti";"Araceae";"EN"
"Aralia bahiana";"Araliaceae";"EN"
"Dendropanax amorimii";"Araliaceae";"EN"
"Dendropanax denticulatus";"Araliaceae";"EN"
"Dendropanax geniculatus";"Araliaceae";"CR"
"Dendropanax heterophyllus";"Araliaceae";"CR"
"Dendropanax langsdorfii";"Araliaceae";"VU"
"Dendropanax nebulosus";"Araliaceae";"EN"
"Dendropanax trilobus";"Araliaceae";"CR"
"Didymopanax acuminatus";"Araliaceae";"EN"
"Didymopanax auratus";"Araliaceae";"EN"
"Didymopanax capixabus";"Araliaceae";"CR"
"Didymopanax gardneri";"Araliaceae";"EN"
"Didymopanax glaziovii";"Araliaceae";"EN"
"Didymopanax grandigemmus";"Araliaceae";"CR"
"Didymopanax kollmannii";"Araliaceae";"EN"
"Didymopanax plurifolius";"Araliaceae";"VU"
"Didymopanax racemiferus";"Araliaceae";"CR"
"Didymopanax ruschianus";"Araliaceae";"CR"
"Didymopanax villosissimus";"Araliaceae";"EN"
"Hydrocotyle bradei";"Araliaceae";"CR"
"Hydrocotyle langsdorffii";"Araliaceae";"EN"
"Hydrocotyle ulei";"Araliaceae";"EN"
"Sciodaphyllum sprucei";"Araliaceae";"EN"
"Araucaria angustifolia";"Araucariaceae";"EN"
"Acrocomia emensis";"Arecaceae";"VU"
"Allagoptera brevicalyx";"Arecaceae";"VU"
"Attalea barreirensis";"Arecaceae";"VU"
"Bactris timbuiensis";"Arecaceae";"EN"
"Butia capitata";"Arecaceae";"VU"
"Butia eriospatha";"Arecaceae";"VU"
"Butia exilata";"Arecaceae";"CR"
"Butia leptospatha";"Arecaceae";"CR"
"Butia microspadix";"Arecaceae";"VU"
"Butia purpurascens";"Arecaceae";"EN"
"Butia yatay";"Arecaceae";"VU"
"Euterpe edulis";"Arecaceae";"VU"
"Syagrus glaucescens";"Arecaceae";"VU"
"Syagrus macrocarpa";"Arecaceae";"EN"
"Syagrus mendanhensis";"Arecaceae";"CR"
"Syagrus picrophylla";"Arecaceae";"VU"
"Syagrus ruschiana";"Arecaceae";"VU"
"Syagrus weddelliana";"Arecaceae";"EN"
"Trithrinax acanthocoma";"Arecaceae";"VU"
"Aristolochia hypoglauca";"Aristolochiaceae";"EN"
"Aristolochia odora";"Aristolochiaceae";"VU"
"Aristolochia raja";"Aristolochiaceae";"EN"
"Gongylanthus liebmannianus";"Arnelliaceae";"EN"
"Southbya organensis";"Arnelliaceae";"CR"
"Asplenium beckeri";"Aspleniaceae";"CR"
"Asplenium bradeanum";"Aspleniaceae";"EN"
"Asplenium cariocanum";"Aspleniaceae";"EN"
"Asplenium castaneum";"Aspleniaceae";"EN"
"Asplenium schwackei";"Aspleniaceae";"CR"
"Asplenium trindadense";"Aspleniaceae";"CR"
"Achyrocline eriodes";"Asteraceae";"VU"
"Acmella pusilla";"Asteraceae";"EN"
"Acritopappus buiquensis";"Asteraceae";"CR"
"Acritopappus catolesensis";"Asteraceae";"EN"
"Acritopappus connatifolius";"Asteraceae";"EN"
"Acritopappus harleyi";"Asteraceae";"CR"
"Acritopappus irwinii";"Asteraceae";"VU"
"Acritopappus pereirae";"Asteraceae";"CR"
"Acritopappus pintoi";"Asteraceae";"EN"
"Acritopappus prunifolius";"Asteraceae";"VU"
"Acritopappus subtomentosus";"Asteraceae";"CR"
"Acritopappus teixeirae";"Asteraceae";"VU"
"Agrianthus almasensis";"Asteraceae";"EN"
"Agrianthus giuliettiae";"Asteraceae";"EN"
"Aldama corumbensis";"Asteraceae";"EN"
"Aldama filifolia";"Asteraceae";"EN"
"Aldama goyazii";"Asteraceae";"VU"
"Aldama linearifolia";"Asteraceae";"CR"
"Aldama paranensis";"Asteraceae";"CR"
"Aldama vernonioides";"Asteraceae";"EN"
"Anteremanthus hatschbachii";"Asteraceae";"EN"
"Anteremanthus piranii";"Asteraceae";"EN"
"Aspilia almasensis";"Asteraceae";"VU"
"Aspilia belo-horizontinae";"Asteraceae";"CR"
"Aspilia caudata";"Asteraceae";"EN"
"Aspilia cordifolia";"Asteraceae";"EN"
"Aspilia cylindrocephala";"Asteraceae";"VU"
"Aspilia diamantinae";"Asteraceae";"EN"
"Aspilia diffusiflora";"Asteraceae";"VU"
"Aspilia diniz-cruzeanae";"Asteraceae";"CR"
"Aspilia eglerii";"Asteraceae";"CR"
"Aspilia espinhacensis";"Asteraceae";"EN"
"Aspilia grazielae";"Asteraceae";"EN"
"Aspilia jugata";"Asteraceae";"CR"
"Aspilia ovatifolia";"Asteraceae";"CR"
"Aspilia pereirae";"Asteraceae";"EN"
"Aspilia prostrata";"Asteraceae";"EN"
"Aspilia reticulata";"Asteraceae";"VU"
"Aspilia silphioides";"Asteraceae";"EN"
"Austrocritonia rosea";"Asteraceae";"EN"
"Austrocritonia taunayana";"Asteraceae";"EN"
"Austroeupatorium rosmarinaceum";"Asteraceae";"VU"
"Baccharis aracatubensis";"Asteraceae";"EN"
"Baccharis bifrons";"Asteraceae";"EN"
"Baccharis ciliata";"Asteraceae";"CR"
"Baccharis concinna";"Asteraceae";"VU"
"Baccharis elliptica";"Asteraceae";"EN"
"Baccharis friburgensis";"Asteraceae";"EN"
"Baccharis hypericifolia";"Asteraceae";"EN"
"Baccharis lychnophora";"Asteraceae";"VU"
"Baccharis penningtonii";"Asteraceae";"VU"
"Baccharis polyphylla";"Asteraceae";"VU"
"Baccharis pseudoalpestris";"Asteraceae";"VU"
"Baccharis pseudovaccinioides";"Asteraceae";"CR"
"Caatinganthus rubropappus";"Asteraceae";"EN"
"Calea abbreviata";"Asteraceae";"CR"
"Calea acaulis";"Asteraceae";"VU"
"Calea brittoniana";"Asteraceae";"CR"
"Calea gentianoides";"Asteraceae";"VU"
"Calea heteropappa";"Asteraceae";"EN"
"Calea kristiniae";"Asteraceae";"EN"
"Calea wedelioides";"Asteraceae";"EN"
"Campuloclinium parvulum";"Asteraceae";"VU"
"Catolesia mentiens";"Asteraceae";"CR"
"Chaptalia chapadensis";"Asteraceae";"CR"
"Chaptalia cordifolia";"Asteraceae";"VU"
"Chaptalia hermogenis";"Asteraceae";"CR"
"Chionolaena lychnophorioides";"Asteraceae";"VU"
"Chresta souzae";"Asteraceae";"EN"
"Chromolaena arrayana";"Asteraceae";"EN"
"Chromolaena costatipes";"Asteraceae";"EN"
"Chromolaena rhinanthacea";"Asteraceae";"EN"
"Chronopappus bifrons";"Asteraceae";"EN"
"Chrysolaena nicolackii";"Asteraceae";"VU"
"Cololobus longiangustatus";"Asteraceae";"EN"
"Cololobus rupestris";"Asteraceae";"EN"
"Dasyphyllum cryptocephalum";"Asteraceae";"EN"
"Dasyphyllum leptacanthum";"Asteraceae";"EN"
"Dendrophorbium catharinense";"Asteraceae";"VU"
"Dendrophorbium paranense";"Asteraceae";"EN"
"Dimerostemma annuum";"Asteraceae";"EN"
"Dimerostemma episcopale";"Asteraceae";"EN"
"Dimerostemma grazielae";"Asteraceae";"VU"
"Dimerostemma myrtifolium";"Asteraceae";"EN"
"Disynaphia ericoides";"Asteraceae";"EN"
"Disynaphia praeficta";"Asteraceae";"EN"
"Disynaphia variolata";"Asteraceae";"EN"
"Echinocoryne echinocephala";"Asteraceae";"EN"
"Eremanthus arboreus";"Asteraceae";"CR"
"Eremanthus argenteus";"Asteraceae";"EN"
"Eremanthus auriculatus";"Asteraceae";"VU"
"Eremanthus brevifolius";"Asteraceae";"CR"
"Eremanthus ovatifolius";"Asteraceae";"CR"
"Eremanthus praetermissus";"Asteraceae";"VU"
"Eremanthus reticulatus";"Asteraceae";"EN"
"Eremanthus syncephalus";"Asteraceae";"EN"
"Eremanthus veadeiroensis";"Asteraceae";"EN"
"Fulcaldea stuessyi";"Asteraceae";"CR"
"Graphistylis cuneifolia";"Asteraceae";"CR"
"Heterocoma albida";"Asteraceae";"CR"
"Heterocoma ekmaniana";"Asteraceae";"EN"
"Heterocoma erecta";"Asteraceae";"EN"
"Heterocoma lanuginosa";"Asteraceae";"EN"
"Heterocondylus lysimachioides";"Asteraceae";"VU"
"Hoehnephytum almasense";"Asteraceae";"EN"
"Holocheilus hieracioides";"Asteraceae";"EN"
"Holocheilus monocephalus";"Asteraceae";"EN"
"Hololepis hatschbachii";"Asteraceae";"CR"
"Hysterionica pinnatiloba";"Asteraceae";"EN"
"Hysterionica pinnatisecta";"Asteraceae";"CR"
"Ianthopappus corymbosus";"Asteraceae";"CR"
"Ichthyothere elliptica";"Asteraceae";"EN"
"Lepidaploa almasensis";"Asteraceae";"CR"
"Lepidaploa araujoa";"Asteraceae";"CR"
"Lepidaploa gnaphalioides";"Asteraceae";"EN"
"Lepidaploa obtusifolia";"Asteraceae";"EN"
"Lepidaploa persicifolia";"Asteraceae";"VU"
"Lepidaploa pseudaurea";"Asteraceae";"EN"
"Lepidaploa spixiana";"Asteraceae";"EN"
"Leptostelma catharinense";"Asteraceae";"EN"
"Lessingianthus adenophyllus";"Asteraceae";"EN"
"Lessingianthus asteriflorus";"Asteraceae";"EN"
"Lessingianthus constrictus";"Asteraceae";"CR"
"Lessingianthus eitenii";"Asteraceae";"EN"
"Lessingianthus exiguus";"Asteraceae";"VU"
"Lessingianthus glaziovianus";"Asteraceae";"EN"
"Lessingianthus irwinii";"Asteraceae";"VU"
"Lessingianthus pumillus";"Asteraceae";"VU"
"Lessingianthus reitzianus";"Asteraceae";"VU"
"Lessingianthus rosmarinifolius";"Asteraceae";"EN"
"Lessingianthus souzae";"Asteraceae";"EN"
"Lessingianthus stoechas";"Asteraceae";"VU"
"Lessingianthus subcarduoides";"Asteraceae";"EN"
"Lessingianthus venosissimus";"Asteraceae";"EN"
"Lessingianthus westermanii";"Asteraceae";"EN"
"Lessingianthus zuccarinianus";"Asteraceae";"VU"
"Lomatozona artemisiifolia";"Asteraceae";"EN"
"Lulia nervosa";"Asteraceae";"EN"
"Lychnocephalus humillimus";"Asteraceae";"CR"
"Lychnocephalus mellobarretoi";"Asteraceae";"EN"
"Lychnocephalus sellovii";"Asteraceae";"EN"
"Lychnocephalus tomentosus";"Asteraceae";"VU"
"Lychnophora albertinioides";"Asteraceae";"CR"
"Lychnophora brunioides";"Asteraceae";"CR"
"Lychnophora candelabrum";"Asteraceae";"VU"
"Lychnophora crispa";"Asteraceae";"EN"
"Lychnophora damazioi";"Asteraceae";"EN"
"Lychnophora diamantinana";"Asteraceae";"EN"
"Lychnophora gardneri";"Asteraceae";"VU"
"Lychnophora hatschbachii";"Asteraceae";"EN"
"Lychnophora martiana";"Asteraceae";"EN"
"Lychnophora pohlii";"Asteraceae";"VU"
"Lychnophora ramosissima";"Asteraceae";"VU"
"Lychnophora rosmarinifolia";"Asteraceae";"VU"
"Lychnophora rupestris";"Asteraceae";"EN"
"Lychnophora souzae";"Asteraceae";"CR"
"Lychnophora staavioides";"Asteraceae";"EN"
"Lychnophora villosissima";"Asteraceae";"VU"
"Lychnophorella leucodendron";"Asteraceae";"EN"
"Lychnophorella regis";"Asteraceae";"EN"
"Lychnophorella santosii";"Asteraceae";"EN"
"Lychnophorella sericea";"Asteraceae";"CR"
"Macropodina bradei";"Asteraceae";"EN"
"Maschalostachys markgrafii";"Asteraceae";"EN"
"Maschalostachys mellosilvae";"Asteraceae";"EN"
"Mikania additicia";"Asteraceae";"EN"
"Mikania alvimii";"Asteraceae";"EN"
"Mikania anethifolia";"Asteraceae";"EN"
"Mikania argyreiae";"Asteraceae";"VU"
"Mikania cabrerae";"Asteraceae";"EN"
"Mikania campos-portoana";"Asteraceae";"EN"
"Mikania cipoensis";"Asteraceae";"EN"
"Mikania clematidifolia";"Asteraceae";"VU"
"Mikania dusenii";"Asteraceae";"CR"
"Mikania firmula";"Asteraceae";"VU"
"Mikania glabra";"Asteraceae";"EN"
"Mikania glauca";"Asteraceae";"EN"
"Mikania hartbergii";"Asteraceae";"EN"
"Mikania hastato-cordata";"Asteraceae";"VU"
"Mikania hastifolia";"Asteraceae";"EN"
"Mikania itambana";"Asteraceae";"EN"
"Mikania neurocaula";"Asteraceae";"EN"
"Mikania oreophila";"Asteraceae";"EN"
"Mikania pinnatiloba";"Asteraceae";"EN"
"Mikania premnifolia";"Asteraceae";"EN"
"Mikania pteropoda";"Asteraceae";"EN"
"Mikania variifolia";"Asteraceae";"EN"
"Mikania vauthieriana";"Asteraceae";"EN"
"Mikania viminea";"Asteraceae";"EN"
"Mikania warmingii";"Asteraceae";"EN"
"Minasia alpestris";"Asteraceae";"EN"
"Minasia pereirae";"Asteraceae";"EN"
"Minasia scapigera";"Asteraceae";"EN"
"Monogereion carajensis";"Asteraceae";"CR"
"Moquiniastrum argyreum";"Asteraceae";"EN"
"Moquiniastrum cordatum";"Asteraceae";"EN"
"Moquiniastrum hatschbachii";"Asteraceae";"VU"
"Moquiniastrum mollissimum";"Asteraceae";"CR"
"Moquiniastrum ramboi";"Asteraceae";"VU"
"Moquiniastrum sordidum";"Asteraceae";"VU"
"Neocabreria malachophylla";"Asteraceae";"VU"
"Noticastrum hatschbachii";"Asteraceae";"EN"
"Noticastrum malmei";"Asteraceae";"EN"
"Noticastrum psammophilum";"Asteraceae";"EN"
"Ophryosporus organensis";"Asteraceae";"CR"
"Pamphalea araucariophila";"Asteraceae";"EN"
"Pamphalea cardaminifolia";"Asteraceae";"EN"
"Pamphalea maxima";"Asteraceae";"CR"
"Pamphalea ramboi";"Asteraceae";"CR"
"Pamphalea smithii";"Asteraceae";"EN"
"Paralychnophora atkinsiae";"Asteraceae";"CR"
"Paralychnophora bicolor";"Asteraceae";"VU"
"Paralychnophora harleyi";"Asteraceae";"VU"
"Paralychnophora patriciana";"Asteraceae";"EN"
"Perezia eryngioides";"Asteraceae";"EN"
"Perezia multiflora";"Asteraceae";"EN"
"Picrosia cabreriana";"Asteraceae";"CR"
"Piptocarpha longipedunculata";"Asteraceae";"EN"
"Piptocarpha robusta";"Asteraceae";"EN"
"Piptocarpha verticillata";"Asteraceae";"EN"
"Piptolepis buxoides";"Asteraceae";"EN"
"Piptolepis imbricata";"Asteraceae";"CR"
"Piptolepis leptospermoides";"Asteraceae";"CR"
"Porophyllum bahiense";"Asteraceae";"VU"
"Proteopsis argentea";"Asteraceae";"VU"
"Richterago angustifolia";"Asteraceae";"EN"
"Richterago arenaria";"Asteraceae";"VU"
"Richterago campestris";"Asteraceae";"EN"
"Richterago caulescens";"Asteraceae";"CR"
"Richterago conduplicata";"Asteraceae";"EN"
"Richterago elegans";"Asteraceae";"VU"
"Richterago hatschbachii";"Asteraceae";"EN"
"Richterago lanata";"Asteraceae";"EN"
"Richterago petiolata";"Asteraceae";"EN"
"Richterago polyphylla";"Asteraceae";"EN"
"Richterago riparia";"Asteraceae";"VU"
"Richterago stenophylla";"Asteraceae";"EN"
"Richterago suffrutescens";"Asteraceae";"CR"
"Schlechtendalia luzulifolia";"Asteraceae";"EN"
"Senecio almasensis";"Asteraceae";"CR"
"Senecio arctiifolius";"Asteraceae";"EN"
"Senecio caparaoensis";"Asteraceae";"EN"
